"행정구역","2019년_계_총인구수","2019년_계_연령구간인구수","2019년_계_0~9세","2019년_계_10~19세","2019년_계_20~29세","2019년_계_30~39세","2019년_계_40~49세","2019년_계_50~59세","2019년_계_60~69세","2019년_계_70~79세","2019년_계_80~89세","2019년_계_90~99세","2019년_계_100세 이상","2019년_남_총인구수","2019년_남_연령구간인구수","2019년_남_0~9세","2019년_남_10~19세","2019년_남_20~29세","2019년_남_30~39세","2019년_남_40~49세","2019년_남_50~59세","2019년_남_60~69세","2019년_남_70~79세","2019년_남_80~89세","2019년_남_90~99세","2019년_남_100세 이상","2019년_여_총인구수","2019년_여_연령구간인구수","2019년_여_0~9세","2019년_여_10~19세","2019년_여_20~29세","2019년_여_30~39세","2019년_여_40~49세","2019년_여_50~59세","2019년_여_60~69세","2019년_여_70~79세","2019년_여_80~89세","2019년_여_90~99세","2019년_여_100세 이상"
"부산광역시 수영구 (2650000000)","176,148","176,148","10,571","12,378","24,107","24,205","25,593","27,920","27,608","16,572","6,296","833","65","83,565","83,565","5,439","6,390","11,953","12,126","12,555","12,673","12,343","7,524","2,349","200","13","92,583","92,583","5,132","5,988","12,154","12,079","13,038","15,247","15,265","9,048","3,947","633","52"
"부산광역시 사상구 (2653000000)","218,094","218,094","13,720","16,240","29,973","27,071","30,701","43,241","34,755","16,266","5,441","619","67","110,286","110,286","7,001","8,509","16,068","14,425","16,026","21,533","17,361","7,522","1,734","99","8","107,808","107,808","6,719","7,731","13,905","12,646","14,675","21,708","17,394","8,744","3,707","520","59"
"부산광역시 기장군 (2671000000)","164,716","164,716","18,803","16,718","15,872","24,478","30,097","22,374","19,349","11,580","4,751","659","35","81,571","81,571","9,587","8,710","8,476","12,054","15,571","11,291","8,958","5,246","1,559","113","6","83,145","83,145","9,216","8,008","7,396","12,424","14,526","11,083","10,391","6,334","3,192","546","29"
"대구광역시  (2700000000)","2,438,031","2,438,031","188,312","237,198","323,641","305,986","393,387","428,249","308,797","170,112","73,058","8,613","678","1,205,286","1,205,286","96,593","124,289","174,194","157,920","194,076","209,676","147,322","73,829","25,304","1,925","158","1,232,745","1,232,745","91,719","112,909","149,447","148,066","199,311","218,573","161,475","96,283","47,754","6,688","520"
"대구광역시 중구 (2711000000)","77,421","77,421","5,514","5,200","11,595","11,164","10,993","11,580","10,177","7,394","3,236","476","92","37,384","37,384","2,835","2,651","5,654","5,766","5,644","5,697","4,693","3,136","1,173","118","17","40,037","40,037","2,679","2,549","5,941","5,398","5,349","5,883","5,484","4,258","2,063","358","75"
"대구광역시 동구 (2714000000)","345,469","345,469","27,103","27,792","42,229","45,899","52,318","57,845","49,203","29,426","12,118","1,419","117","170,601","170,601","13,890","14,577","22,791","23,953","27,025","27,975","22,954","12,804","4,282","320","30","174,868","174,868","13,213","13,215","19,438","21,946","25,293","29,870","26,249","16,622","7,836","1,099","87"
"대구광역시 서구 (2717000000)","175,277","175,277","8,325","11,980","22,699","18,696","24,174","35,623","29,800","16,737","6,409","736","98","88,052","88,052","4,252","6,314","12,518","10,530","12,940","17,823","14,062","7,254","2,193","143","23","87,225","87,225","4,073","5,666","10,181","8,166","11,234","17,800","15,738","9,483","4,216","593","75"
"대구광역시 남구 (2720000000)","148,113","148,113","7,278","10,051","20,120","17,826","21,080","25,522","23,352","15,009","6,927","866","82","71,366","71,366","3,802","5,266","10,302","9,275","10,618","12,331","10,701","6,363","2,474","214","20","76,747","76,747","3,476","4,785","9,818","8,551","10,462","13,191","12,651","8,646","4,453","652","62"
"대구광역시 북구 (2723000000)","437,710","437,710","35,406","45,511","60,440","55,130","74,201","76,941","50,142","27,362","11,267","1,230","80","218,150","218,150","18,169","23,720","32,834","28,567","36,396","38,262","24,401","11,655","3,870","259","17","219,560","219,560","17,237","21,791","27,606","26,563","37,805","38,679","25,741","15,707","7,397","971","63"
"대구광역시 수성구 (2726000000)","428,614","428,614","30,996","54,133","56,337","44,290","75,160","74,918","49,733","28,013","13,281","1,654","99","208,024","208,024","15,940","28,714","30,487","21,372","34,321","36,430","23,407","12,173","4,771","381","28","220,590","220,590","15,056","25,419","25,850","22,918","40,839","38,488","26,326","15,840","8,510","1,273","71"
"대구광역시 달서구 (2729000000)","568,887","568,887","43,368","58,954","80,698","69,897","93,197","105,326","68,957","32,974","13,904","1,529","83","281,348","281,348","22,263","30,704","43,316","36,076","45,066","50,959","33,443","14,544","4,619","343","15","287,539","287,539","21,105","28,250","37,382","33,821","48,131","54,367","35,514","18,430","9,285","1,186","68"
"대구광역시 달성군 (2771000000)","256,540","256,540","30,322","23,577","29,523","43,084","42,264","40,494","27,433","13,197","5,916","703","27","130,361","130,361","15,442","12,343","16,292","22,381","22,066","20,199","13,661","5,900","1,922","147","8","126,179","126,179","14,880","11,234","13,231","20,703","20,198","20,295","13,772","7,297","3,994","556","19"
"인천광역시  (2800000000)","2,957,026","2,957,026","242,400","283,251","407,608","421,189","489,961","516,594","339,270","171,138","73,339","11,393","883","1,482,249","1,482,249","124,383","145,798","213,116","217,146","250,143","258,399","168,422","77,256","24,807","2,548","231","1,474,777","1,474,777","118,017","137,453","194,492","204,043","239,818","258,195","170,848","93,882","48,532","8,845","652"
"인천광역시 중구 (2811000000)","135,135","135,135","12,105","12,240","18,621","20,828","23,836","19,561","14,906","8,922","3,455","587","74","70,063","70,063","6,264","6,328","9,523","11,194","13,142","10,695","7,389","4,104","1,249","150","25","65,072","65,072","5,841","5,912","9,098","9,634","10,694","8,866","7,517","4,818","2,206","437","49"
"인천광역시 동구 (2814000000)","64,427","64,427","4,344","5,383","6,851","7,696","10,343","10,435","9,705","6,492","2,699","404","75","32,536","32,536","2,284","2,792","3,702","4,056","5,623","5,458","4,721","2,855","923","98","24","31,891","31,891","2,060","2,591","3,149","3,640","4,720","4,977","4,984","3,637","1,776","306","51"
"인천광역시 미추홀구 (2817700000)","408,862","408,862","29,269","33,207","57,456","58,082","64,693","68,528","52,939","30,513","12,155","1,848","172","206,129","206,129","14,945","17,201","30,540","31,132","34,064","34,290","25,389","13,766","4,335","421","46","202,733","202,733","14,324","16,006","26,916","26,950","30,629","34,238","27,550","16,747","7,820","1,427","126"
"인천광역시 연수구 (2818500000)","366,550","366,550","36,242","41,567","50,882","54,492","65,025","61,986","33,633","14,666","6,852","1,154","51","182,374","182,374","18,539","21,340","26,468","26,891","31,891","30,838","17,344","6,623","2,159","266","15","184,176","184,176","17,703","20,227","24,414","27,601","33,134","31,148","16,289","8,043","4,693","888","36"
"인천광역시 남동구 (2820000000)","532,704","532,704","45,640","51,916","72,411","77,084","90,279","91,308","60,911","29,437","11,730","1,869","119","264,955","264,955","23,456","26,541","37,490","39,519","45,906","44,970","29,511","13,234","3,912","389","27","267,749","267,749","22,184","25,375","34,921","37,565","44,373","46,338","31,400","16,203","7,818","1,480","92"
"인천광역시 부평구 (2823700000)","511,577","511,577","36,587","46,370","73,541","72,530","80,985","93,365","62,036","30,644","13,327","2,004","188","253,338","253,338","18,697","23,985","37,907","37,319","40,673","45,851","30,325","13,685","4,423","435","38","258,239","258,239","17,890","22,385","35,634","35,211","40,312","47,514","31,711","16,959","8,904","1,569","150"
"인천광역시 계양구 (2824500000)","303,471","303,471","20,553","28,698","46,080","39,838","48,086","62,231","35,018","15,021","6,888","997","61","151,569","151,569","10,457","14,832","24,075","20,547","23,912","30,529","18,128","6,655","2,185","235","14","151,902","151,902","10,096","13,866","22,005","19,291","24,174","31,702","16,890","8,366","4,703","762","47"
"인천광역시 서구 (2826000000)","544,556","544,556","53,304","57,908","73,406","83,100","96,227","93,072","53,011","23,175","9,726","1,531","96","274,942","274,942","27,502","29,680","38,171","42,308","48,976","47,334","26,968","10,546","3,122","307","28","269,614","269,614","25,802","28,228","35,235","40,792","47,251","45,738","26,043","12,629","6,604","1,224","68"
"인천광역시 강화군 (2871000000)","69,178","69,178","3,332","4,787","5,610","5,507","7,982","12,366","13,394","9,997","5,398","766","39","34,665","34,665","1,716","2,466","3,243","2,910","4,353","6,285","6,677","4,692","2,117","194","12","34,513","34,513","1,616","2,321","2,367","2,597","3,629","6,081","6,717","5,305","3,281","572","27"
"인천광역시 옹진군 (2872000000)","20,566","20,566","1,024","1,175","2,750","2,032","2,505","3,742","3,717","2,271","1,109","233","8","11,678","11,678","523","633","1,997","1,270","1,603","2,149","1,970","1,096","382","53","2","8,888","8,888","501","542","753","762","902","1,593","1,747","1,175","727","180","6"
"광주광역시  (2900000000)","1,456,468","1,456,468","126,519","164,431","207,448","192,943","244,566","233,280","153,369","90,695","37,474","5,344","399","720,740","720,740","65,084","85,378","108,393","97,812","121,383","115,453","73,079","39,981","12,971","1,157","49","735,728","735,728","61,435","79,053","99,055","95,131","123,183","117,827","80,290","50,714","24,503","4,187","350"
"광주광역시 동구 (2911000000)","98,585","98,585","6,615","7,485","13,817","12,520","13,680","15,377","13,968","10,110","4,344","614","55","48,799","48,799","3,437","3,893","7,125","6,564","7,153","7,563","6,600","4,485","1,802","168","9","49,786","49,786","3,178","3,592","6,692","5,956","6,527","7,814","7,368","5,625","2,542","446","46"
"광주광역시 서구 (2914000000)","300,975","300,975","23,463","33,710","45,312","38,902","50,421","49,625","32,244","18,543","7,549","1,136","70","147,671","147,671","12,191","17,642","23,365","19,525","24,322","24,265","15,220","8,257","2,628","247","9","153,304","153,304","11,272","16,068","21,947","19,377","26,099","25,360","17,024","10,286","4,921","889","61"
"광주광역시 남구 (2915500000)","218,060","218,060","18,275","23,650","28,724","27,183","34,402","33,879","26,965","16,986","6,872","1,027","97","105,027","105,027","9,325","11,919","14,801","13,421","16,870","15,978","12,434","7,596","2,437","233","13","113,033","113,033","8,950","11,731","13,923","13,762","17,532","17,901","14,531","9,390","4,435","794","84"
"광주광역시 북구 (2917000000)","433,533","433,533","35,183","45,269","62,730","57,542","68,651","72,759","49,999","28,375","11,361","1,549","115","215,260","215,260","18,013","23,960","33,088","29,708","34,317","35,417","23,903","12,567","3,953","320","14","218,273","218,273","17,170","21,309","29,642","27,834","34,334","37,342","26,096","15,808","7,408","1,229","101"
"광주광역시 광산구 (2920000000)","405,315","405,315","42,983","54,317","56,865","56,796","77,412","61,640","30,193","16,681","7,348","1,018","62","203,983","203,983","22,118","27,964","30,014","28,594","38,721","32,230","14,922","7,076","2,151","189","4","201,332","201,332","20,865","26,353","26,851","28,202","38,691","29,410","15,271","9,605","5,197","829","58"
"대전광역시  (3000000000)","1,474,870","1,474,870","121,829","153,179","212,629","200,480","242,481","243,869","168,307","87,513","38,853","5,397","333","736,607","736,607","62,600","79,438","112,059","103,621","121,088","121,187","82,057","39,482","13,756","1,238","81","738,263","738,263","59,229","73,741","100,570","96,859","121,393","122,682","86,250","48,031","25,097","4,159","252"
"대전광역시 동구 (3011000000)","226,771","226,771","16,248","20,891","30,798","27,440","34,796","37,871","31,092","18,551","7,926","1,073","85","114,447","114,447","8,375","10,796","16,458","14,659","18,337","19,294","15,068","8,326","2,847","263","24","112,324","112,324","7,873","10,095","14,340","12,781","16,459","18,577","16,024","10,225","5,079","810","61"
"대전광역시 중구 (3014000000)","240,473","240,473","16,647","23,326","31,478","27,951","38,258","40,494","32,297","19,981","8,793","1,171","77","118,864","118,864","8,505","12,077","16,241","14,331","19,458","20,305","15,349","9,004","3,299","276","19","121,609","121,609","8,142","11,249","15,237","13,620","18,800","20,189","16,948","10,977","5,494","895","58"
"대전광역시 서구 (3017000000)","481,222","481,222","40,343","52,034","73,711","67,975","80,080","78,531","51,385","24,579","10,957","1,542","85","236,851","236,851","20,718","26,911","37,620","34,474","38,791","37,997","24,916","11,198","3,845","363","18","244,371","244,371","19,625","25,123","36,091","33,501","41,289","40,534","26,469","13,381","7,112","1,179","67"
"대전광역시 유성구 (3020000000)","349,373","349,373","36,686","39,145","51,684","56,841","60,821","53,385","30,799","12,796","6,162","998","56","176,415","176,415","18,950","20,365","27,875","29,259","29,949","26,514","15,469","5,808","1,995","219","12","172,958","172,958","17,736","18,780","23,809","27,582","30,872","26,871","15,330","6,988","4,167","779","44"
"대전광역시 대덕구 (3023000000)","177,031","177,031","11,905","17,783","24,958","20,273","28,526","33,588","22,734","11,606","5,015","613","30","90,030","90,030","6,052","9,289","13,865","10,898","14,553","17,077","11,255","5,146","1,770","117","8","87,001","87,001","5,853","8,494","11,093","9,375","13,973","16,511","11,479","6,460","3,245","496","22"
"울산광역시  (3100000000)","1,148,019","1,148,019","104,371","116,733","149,137","159,743","190,771","211,359","134,651","56,946","21,222","2,928","158","589,712","589,712","53,757","61,537","83,553","84,210","96,712","107,891","68,074","26,701","6,780","466","31","558,307","558,307","50,614","55,196","65,584","75,533","94,059","103,468","66,577","30,245","14,442","2,462","127"
"울산광역시 중구 (3111000000)","223,581","223,581","18,033","21,181","28,559","28,405","35,613","42,564","30,092","13,668","4,809","605","52","113,526","113,526","9,352","11,335","15,928","14,853","18,040","21,251","14,758","6,244","1,657","98","10","110,055","110,055","8,681","9,846","12,631","13,552","17,573","21,313","15,334","7,424","3,152","507","42"
"울산광역시 남구 (3114000000)","323,819","323,819","24,869","32,456","46,972","43,411","53,279","62,517","38,803","15,628","5,220","631","33","165,062","165,062","12,822","17,138","26,267","22,845","25,860","31,535","19,329","7,423","1,728","105","10","158,757","158,757","12,047","15,318","20,705","20,566","27,419","30,982","19,474","8,205","3,492","526","23"
"울산광역시 동구 (3117000000)","159,656","159,656","16,188","15,858","18,579","25,139","25,685","26,844","21,069","7,611","2,307","353","23","83,391","83,391","8,330","8,337","10,409","13,822","13,858","13,194","10,827","3,862","702","46","4","76,265","76,265","7,858","7,521","8,170","11,317","11,827","13,650","10,242","3,749","1,605","307","19"
"울산광역시 북구 (3120000000)","217,796","217,796","26,241","23,860","28,353","35,484","37,945","38,154","17,506","6,943","2,870","423","17","112,588","112,588","13,455","12,500","15,880","18,283","19,333","19,964","9,146","3,146","816","62","3","105,208","105,208","12,786","11,360","12,473","17,201","18,612","18,190","8,360","3,797","2,054","361","14"
"울산광역시 울주군 (3171000000)","223,167","223,167","19,040","23,378","26,674","27,304","38,249","41,280","27,181","13,096","6,016","916","33","115,145","115,145","9,798","12,227","15,069","14,407","19,621","21,947","14,014","6,026","1,877","155","4","108,022","108,022","9,242","11,151","11,605","12,897","18,628","19,333","13,167","7,070","4,139","761","29"
"세종특별자치시  (3600000000)","340,575","340,575","47,249","40,037","36,340","61,464","64,472","42,480","27,208","13,445","6,764","1,063","53","169,845","169,845","24,152","20,094","18,357","29,984","33,224","21,980","13,479","6,078","2,249","239","9","170,730","170,730","23,097","19,943","17,983","31,480","31,248","20,500","13,729","7,367","4,515","824","44"
"세종특별자치시  (3611000000)","340,575","340,575","47,249","40,037","36,340","61,464","64,472","42,480","27,208","13,445","6,764","1,063","53","169,845","169,845","24,152","20,094","18,357","29,984","33,224","21,980","13,479","6,078","2,249","239","9","170,730","170,730","23,097","19,943","17,983","31,480","31,248","20,500","13,729","7,367","4,515","824","44"
"경기도  (4100000000)","13,239,666","13,239,666","1,184,990","1,355,462","1,770,695","1,925,827","2,290,198","2,198,828","1,399,372","737,272","325,340","47,768","3,914","6,659,995","6,659,995","607,414","698,188","931,439","988,359","1,163,371","1,115,137","694,626","332,647","116,360","11,422","1,032","6,579,671","6,579,671","577,576","657,274","839,256","937,468","1,126,827","1,083,691","704,746","404,625","208,980","36,346","2,882"
"경기도 수원시 (4111000000)","1,194,465","1,194,465","104,305","123,890","186,611","185,118","205,973","195,930","110,450","54,594","23,681","3,627","286","601,410","601,410","53,806","64,143","98,428","95,743","103,709","97,887","54,367","24,274","8,135","841","77","593,055","593,055","50,499","59,747","88,183","89,375","102,264","98,043","56,083","30,320","15,546","2,786","209"
"경기도 수원시 장안구 (4111100000)","278,377","278,377","20,092","30,606","44,388","34,323","47,404","49,351","28,535","15,299","7,160","1,136","83","140,218","140,218","10,416","16,001","24,256","17,754","23,534","24,644","14,038","6,755","2,530","270","20","138,159","138,159","9,676","14,605","20,132","16,569","23,870","24,707","14,497","8,544","4,630","866","63"
"경기도 수원시 권선구 (4111300000)","371,754","371,754","34,659","34,800","55,216","61,001","61,712","62,658","36,524","16,855","7,178","1,066","85","187,627","187,627","17,825","18,118","28,754","31,879","31,782","30,896","18,006","7,653","2,446","242","26","184,127","184,127","16,834","16,682","26,462","29,122","29,930","31,762","18,518","9,202","4,732","824","59"
"경기도 수원시 팔달구 (4111500000)","175,866","175,866","10,457","14,791","28,171","25,322","28,252","30,823","21,123","11,570","4,581","689","87","88,523","88,523","5,283","7,589","14,760","13,560","14,518","15,651","10,210","5,134","1,630","165","23","87,343","87,343","5,174","7,202","13,411","11,762","13,734","15,172","10,913","6,436","2,951","524","64"
"경기도 수원시 영통구 (4111700000)","368,468","368,468","39,097","43,693","58,836","64,472","68,605","53,098","24,268","10,870","4,762","736","31","185,042","185,042","20,282","22,435","30,658","32,550","33,875","26,696","12,113","4,732","1,529","164","8","183,426","183,426","18,815","21,258","28,178","31,922","34,730","26,402","12,155","6,138","3,233","572","23"
"경기도 성남시 (4113000000)","942,724","942,724","72,005","91,259","132,387","139,568","160,310","156,408","106,514","56,327","23,590","3,921","435","466,644","466,644","36,902","46,847","67,916","70,467","79,349","77,825","52,306","25,392","8,552","973","115","476,080","476,080","35,103","44,412","64,471","69,101","80,961","78,583","54,208","30,935","15,038","2,948","320"
"경기도 성남시 수정구 (4113100000)","234,678","234,678","16,074","17,859","33,877","35,101","37,301","40,454","30,747","16,367","5,843","864","191","118,631","118,631","8,134","9,219","17,780","18,622","19,787","20,500","14,886","7,387","2,049","209","58","116,047","116,047","7,940","8,640","16,097","16,479","17,514","19,954","15,861","8,980","3,794","655","133"
"경기도 성남시 중원구 (4113300000)","220,041","220,041","14,246","17,829","31,528","32,114","34,411","39,834","28,942","14,784","5,345","838","170","111,444","111,444","7,373","9,157","16,486","17,130","18,153","19,990","14,368","6,719","1,845","181","42","108,597","108,597","6,873","8,672","15,042","14,984","16,258","19,844","14,574","8,065","3,500","657","128"
"경기도 성남시 분당구 (4113500000)","488,005","488,005","41,685","55,571","66,982","72,353","88,598","76,120","46,825","25,176","12,402","2,219","74","236,569","236,569","21,395","28,471","33,650","34,715","41,409","37,335","23,052","11,286","4,658","583","15","251,436","251,436","20,290","27,100","33,332","37,638","47,189","38,785","23,773","13,890","7,744","1,636","59"
"경기도 의정부시 (4115000000)","451,868","451,868","35,273","43,855","62,512","59,773","74,630","78,773","52,089","30,215","12,832","1,713","203","222,590","222,590","18,201","22,577","31,936","30,363","37,236","38,850","25,084","13,194","4,676","429","44","229,278","229,278","17,072","21,278","30,576","29,410","37,394","39,923","27,005","17,021","8,156","1,284","159"
"경기도 안양시 (4117000000)","567,044","567,044","42,767","55,772","81,360","80,662","91,963","101,228","66,734","30,746","13,674","1,971","167","280,652","280,652","21,792","28,836","42,343","41,234","44,942","49,246","33,222","13,880","4,645","465","47","286,392","286,392","20,975","26,936","39,017","39,428","47,021","51,982","33,512","16,866","9,029","1,506","120"
"경기도 안양시 만안구 (4117100000)","244,235","244,235","16,841","20,067","35,566","34,566","36,457","44,938","32,324","15,850","6,641","905","80","122,326","122,326","8,545","10,413","18,590","18,150","18,609","22,114","16,023","7,288","2,355","216","23","121,909","121,909","8,296","9,654","16,976","16,416","17,848","22,824","16,301","8,562","4,286","689","57"
"경기도 안양시 동안구 (4117300000)","322,809","322,809","25,926","35,705","45,794","46,096","55,506","56,290","34,410","14,896","7,033","1,066","87","158,326","158,326","13,247","18,423","23,753","23,084","26,333","27,132","17,199","6,592","2,290","249","24","164,483","164,483","12,679","17,282","22,041","23,012","29,173","29,158","17,211","8,304","4,743","817","63"
"경기도 부천시 (4119000000)","829,996","829,996","61,998","74,557","119,747","121,226","132,971","150,997","102,122","44,498","18,755","2,899","226","412,500","412,500","31,753","38,364","61,845","62,101","66,997","73,586","50,737","20,329","6,088","644","56","417,496","417,496","30,245","36,193","57,902","59,125","65,974","77,411","51,385","24,169","12,667","2,255","170"
"경기도 광명시 (4121000000)","316,552","316,552","25,724","33,063","40,950","45,227","55,010","52,573","37,128","18,178","7,485","1,074","140","156,405","156,405","13,175","17,032","21,453","22,877","27,252","26,069","17,737","8,089","2,436","251","34","160,147","160,147","12,549","16,031","19,497","22,350","27,758","26,504","19,391","10,089","5,049","823","106"
"경기도 평택시 (4122000000)","513,027","513,027","48,243","53,078","68,938","76,803","90,095","83,462","49,617","27,550","13,163","1,854","224","264,012","264,012","24,714","27,397","37,615","41,391","47,595","43,638","24,528","11,998","4,563","505","68","249,015","249,015","23,529","25,681","31,323","35,412","42,500","39,824","25,089","15,552","8,600","1,349","156"
"경기도 동두천시 (4125000000)","94,768","94,768","6,922","9,005","11,201","10,633","14,939","16,317","12,345","8,724","4,037","565","80","47,308","47,308","3,591","4,535","6,132","5,439","7,709","8,603","6,006","3,630","1,488","157","18","47,460","47,460","3,331","4,470","5,069","5,194","7,230","7,714","6,339","5,094","2,549","408","62"
"경기도 안산시 (4127000000)","650,918","650,918","46,439","68,132","105,119","85,862","111,287","126,139","63,694","28,519","13,664","1,958","105","333,766","333,766","23,665","35,252","55,951","46,550","56,423","65,133","33,262","12,643","4,451","414","22","317,152","317,152","22,774","32,880","49,168","39,312","54,864","61,006","30,432","15,876","9,213","1,544","83"
"경기도 안산시 상록구 (4127100000)","344,613","344,613","23,943","35,705","56,696","43,859","58,702","66,939","33,507","16,224","7,849","1,136","53","175,789","175,789","12,230","18,436","30,150","23,635","29,682","34,418","17,362","7,041","2,583","242","10","168,824","168,824","11,713","17,269","26,546","20,224","29,020","32,521","16,145","9,183","5,266","894","43"
"경기도 안산시 단원구 (4127300000)","306,305","306,305","22,496","32,427","48,423","42,003","52,585","59,200","30,187","12,295","5,815","822","52","157,977","157,977","11,435","16,816","25,801","22,915","26,741","30,715","15,900","5,602","1,868","172","12","148,328","148,328","11,061","15,611","22,622","19,088","25,844","28,485","14,287","6,693","3,947","650","40"
"경기도 고양시 (4128000000)","1,066,351","1,066,351","84,813","109,000","149,680","141,617","185,520","191,123","108,983","60,269","30,730","4,307","309","522,749","522,749","43,244","56,024","76,552","69,908","89,771","94,680","54,710","25,573","11,091","1,118","78","543,602","543,602","41,569","52,976","73,128","71,709","95,749","96,443","54,273","34,696","19,639","3,189","231"
"경기도 고양시 덕양구 (4128100000)","466,157","466,157","38,863","42,557","62,288","66,204","78,358","81,204","51,362","29,459","13,765","1,900","197","230,858","230,858","19,801","21,820","32,198","33,427","39,392","40,536","25,471","12,689","5,002","476","46","235,299","235,299","19,062","20,737","30,090","32,777","38,966","40,668","25,891","16,770","8,763","1,424","151"
"경기도 고양시 일산동구 (4128500000)","297,671","297,671","21,857","30,872","44,502","38,563","52,855","54,813","29,483","15,174","8,245","1,247","60","144,991","144,991","11,205","15,971","22,434","18,649","25,045","26,960","15,020","6,411","2,957","321","18","152,680","152,680","10,652","14,901","22,068","19,914","27,810","27,853","14,463","8,763","5,288","926","42"
"경기도 고양시 일산서구 (4128700000)","302,523","302,523","24,093","35,571","42,890","36,850","54,307","55,106","28,138","15,636","8,720","1,160","52","146,900","146,900","12,238","18,233","21,920","17,832","25,334","27,184","14,219","6,473","3,132","321","14","155,623","155,623","11,855","17,338","20,970","19,018","28,973","27,922","13,919","9,163","5,588","839","38"
"경기도 과천시 (4129000000)","58,289","58,289","4,507","6,366","8,023","7,806","9,209","10,278","6,498","3,457","1,740","356","49","28,638","28,638","2,374","3,302","4,239","3,955","4,353","5,021","3,189","1,498","614","85","8","29,651","29,651","2,133","3,064","3,784","3,851","4,856","5,257","3,309","1,959","1,126","271","41"
"경기도 구리시 (4131000000)","199,265","199,265","16,345","19,116","27,505","27,578","33,603","35,905","22,583","11,399","4,555","604","72","98,968","98,968","8,446","9,892","14,066","13,929","16,698","17,694","11,366","5,054","1,648","152","23","100,297","100,297","7,899","9,224","13,439","13,649","16,905","18,211","11,217","6,345","2,907","452","49"
"경기도 남양주시 (4136000000)","701,830","701,830","67,577","77,825","82,728","92,256","128,868","113,759","76,344","42,862","17,010","2,392","209","349,664","349,664","34,744","40,078","43,022","45,191","65,075","58,022","37,100","19,545","6,273","556","58","352,166","352,166","32,833","37,747","39,706","47,065","63,793","55,737","39,244","23,317","10,737","1,836","151"
"경기도 오산시 (4137000000)","226,379","226,379","25,263","24,982","30,421","40,103","42,013","32,211","17,936","9,289","3,681","433","47","116,904","116,904","12,933","12,840","16,393","21,433","22,255","16,691","8,831","4,089","1,329","96","14","109,475","109,475","12,330","12,142","14,028","18,670","19,758","15,520","9,105","5,200","2,352","337","33"
"경기도 시흥시 (4139000000)","473,682","473,682","46,800","49,958","66,027","73,824","86,398","83,034","40,269","18,027","8,101","1,155","89","247,804","247,804","23,935","25,770","35,793","39,575","46,190","44,313","21,305","8,041","2,615","243","24","225,878","225,878","22,865","24,188","30,234","34,249","40,208","38,721","18,964","9,986","5,486","912","65"
"경기도 군포시 (4141000000)","275,852","275,852","22,602","28,069","38,214","39,877","45,760","48,316","30,212","14,536","7,098","1,100","68","136,878","136,878","11,620","14,407","19,951","20,539","22,471","23,637","14,999","6,434","2,508","292","20","138,974","138,974","10,982","13,662","18,263","19,338","23,289","24,679","15,213","8,102","4,590","808","48"
"경기도 의왕시 (4143000000)","161,153","161,153","13,101","15,162","22,732","22,132","24,966","29,639","19,725","8,856","4,107","688","45","80,353","80,353","6,800","7,797","12,062","11,391","12,297","14,397","9,947","4,092","1,393","164","13","80,800","80,800","6,301","7,365","10,670","10,741","12,669","15,242","9,778","4,764","2,714","524","32"
"경기도 하남시 (4145000000)","272,455","272,455","29,647","23,632","32,250","46,837","47,064","40,433","31,709","14,678","5,165","936","104","136,985","136,985","15,178","12,087","16,697","23,583","24,723","19,906","15,469","7,320","1,782","212","28","135,470","135,470","14,469","11,545","15,553","23,254","22,341","20,527","16,240","7,358","3,383","724","76"
"경기도 용인시 (4146000000)","1,059,609","1,059,609","105,455","123,101","132,253","149,477","200,224","157,892","98,721","63,179","25,293","3,841","173","525,946","525,946","53,977","63,328","68,483","73,528","99,068","80,605","46,622","29,037","10,285","981","32","533,663","533,663","51,478","59,773","63,770","75,949","101,156","77,287","52,099","34,142","15,008","2,860","141"
"경기도 용인시 처인구 (4146100000)","253,896","253,896","22,326","25,472","33,228","34,881","43,237","42,536","28,544","15,473","7,071","1,059","69","130,034","130,034","11,396","13,397","17,921","18,299","22,767","22,082","14,224","7,132","2,562","242","12","123,862","123,862","10,930","12,075","15,307","16,582","20,470","20,454","14,320","8,341","4,509","817","57"
"경기도 용인시 기흥구 (4146300000)","436,679","436,679","45,852","51,788","53,753","62,536","84,703","62,919","38,527","25,166","9,845","1,532","58","215,796","215,796","23,567","26,668","27,749","30,473","41,662","31,844","17,855","11,493","4,074","398","13","220,883","220,883","22,285","25,120","26,004","32,063","43,041","31,075","20,672","13,673","5,771","1,134","45"
"경기도 용인시 수지구 (4146500000)","369,034","369,034","37,277","45,841","45,272","52,060","72,284","52,437","31,650","22,540","8,377","1,250","46","180,116","180,116","19,014","23,263","22,813","24,756","34,639","26,679","14,543","10,412","3,649","341","7","188,918","188,918","18,263","22,578","22,459","27,304","37,645","25,758","17,107","12,128","4,728","909","39"
"경기도 파주시 (4148000000)","454,040","454,040","45,350","48,620","55,277","67,819","79,134","69,622","45,024","28,086","13,025","1,901","182","230,461","230,461","23,090","25,130","29,055","36,144","40,728","36,514","22,173","12,331","4,791","450","55","223,579","223,579","22,260","23,490","26,222","31,675","38,406","33,108","22,851","15,755","8,234","1,451","127"
